,location,date,total_cases,new_cases,total_deaths,new_deaths
8934,Saint Lucia,2020-05-08,18,0,0,0
8188,Kyrgyzstan,2020-05-08,906,11,12,0
8353,Saint Kitts and Nevis,2020-05-08,15,0,0,0
8483,South Korea,2020-05-08,10822,12,256,0
8655,Laos,2020-05-08,19,0,0,0
8781,Lebanon,2020-05-08,784,34,25,0
8834,Liberia,2020-05-08,189,11,20,0
8879,Libya,2020-05-08,64,0,3,0
8993,Liechtenstein,2020-05-08,83,0,1,0
5341,Gabon,2020-05-08,504,65,8,0
9114,Sri Lanka,2020-05-08,824,27,9,0
9497,Morocco,2020-05-08,5548,140,183,0
9615,Monaco,2020-05-08,95,0,4,0
9724,Madagascar,2020-05-08,193,35,0,0
10079,Mali,2020-05-08,650,19,32,0
10139,Malta,2020-05-08,486,2,5,0
10186,Myanmar,2020-05-08,176,14,6,0
7893,Jordan,2020-05-08,494,21,9,0
7836,Jersey,2020-05-08,293,0,25,0
7786,Jamaica,2020-05-08,488,10,9,0
7469,Iceland,2020-05-08,1801,2,10,0
5598,Georgia,2020-05-08,615,5,9,0
5648,Guernsey,2020-05-08,252,0,13,0
5704,Ghana,2020-05-08,3091,0,18,0
5754,Gibraltar,2020-05-08,144,0,0,0
5809,Guinea,2020-05-08,1927,71,11,0
5861,Gambia,2020-05-08,18,1,1,0
5904,Guinea-Bissau,2020-05-08,564,89,2,0
5959,Equatorial Guinea,2020-05-08,439,0,4,0
6135,Grenada,2020-05-08,21,0,0,0
6185,Greenland,2020-05-08,11,0,0,0
6291,Guam,2020-05-08,151,0,5,0
6346,Guyana,2020-05-08,93,0,10,0
6586,Haiti,2020-05-08,129,21,12,0
6824,Isle of Man,2020-05-08,329,2,23,0
7339,Iraq,2020-05-08,2543,63,102,0
15770,Zimbabwe,2020-05-08,34,0,4,0
